id,name,county,state,lon,lat
2,Camp at Alder Creek,Nevada,CA,-120.180931,39.375838
3,Camp at Truckee Lake,Nevada,CA,-120.264444,39.322778
4,Salem,Rowan,NC,-80.52,35.64
5,Springfield,Sangamon,IL,-89.655,39.799444
6,San Jose,Santa Clara,CA,-121.9,37.333333
7,Donegal Township,Lancaster,PA,-76.559257,40.082447
8,Elizabeth City,Pasquotank,NC,-76.225,36.295556
9,Newburyport,Essex,MA,-70.877778,42.8125
10,Bloomington,McLean,IL,,
11,Elk Grove,Sacramento,CA,,
12,Jamestown,Tuolumne,CA,,
13,Byron,Contra Costa,CA,,
14,St. John,Whitman,WA,-117.582222,47.090278
15,Los Angeles,Los Angeles,CA,-118.25,34.05
16,Winters,Yolo,CA,,
17,Bear Valley,,CA,,
18,Sebastopol,Sonoma,CA,,
