firstSiblingId,secondSiblingId,weight
2,24,1.0
8,9,1.0
8,10,1.0
8,11,1.0
8,12,1.0
8,13,1.0
8,14,0.5
8,15,0.5
8,16,0.5
8,17,0.5
8,18,0.5
9,10,1.0
9,11,1.0
9,12,1.0
9,13,1.0
9,14,0.5
9,15,0.5
9,16,0.5
9,17,0.5
9,18,0.5
10,11,1.0
10,12,1.0
10,13,1.0
10,14,0.5
10,15,0.5
10,16,0.5
10,17,0.5
10,18,0.5
11,12,1.0
11,13,1.0
11,14,0.5
11,15,0.5
11,16,0.5
11,17,0.5
11,18,0.5
12,13,1.0
12,14,0.5
12,15,0.5
12,16,0.5
12,17,0.5
12,18,0.5
13,14,0.5
13,15,0.5
13,16,0.5
13,17,0.5
13,18,0.5
14,15,1.0
14,16,0.5
14,17,0.5
14,18,0.5
15,16,0.5
15,17,0.5
15,18,0.5
16,17,1.0
16,18,1.0
16,20,0.5
16,21,0.5
17,18,1.0
17,20,0.5
17,21,0.5
18,20,0.5
18,21,0.5
20,21,1.0
26,27,1.0
26,28,1.0
26,29,1.0
26,30,1.0
26,32,0.5
26,33,0.5
27,28,1.0
27,29,1.0
27,30,1.0
27,32,0.5
27,33,0.5
28,29,1.0
28,30,1.0
28,32,0.5
28,33,0.5
29,30,1.0
29,32,0.5
29,33,0.5
30,32,0.5
30,33,0.5
32,33,1.0
